name,Percentage of positive rating(Recent Review),Percentage of positive rating
PLAYERUNKNOWN'S BATTLEGROUNDS,49,49
DayZ,57,61
Call of Duty®: Modern Warfare® Remastered,51,51
War Robots,49,44
Grand Theft Auto IV,66,63
Tree of Savior (English Ver.),46,60
Wizard101,62,68
Street Fighter V,50,52
Gang Beasts,66,69
Call of Duty®: WWII,53,54
JUMP FORCE,54,55
Heroes & Generals,56,65
Total War Saga: THRONES OF BRITANNIA,57,55
DiRT Rally 2.0,61,64
Warface,60,69
WWE 2K19,50,59
Generation Zero,50,45
SCUM,58,64
VEGA Conflict,65,52
The Golf Club™ 2019 featuring PGA TOUR,61,57
