name,Number of users(Recent Review)
Counter-Strike: Global Offensive,6076
Tom Clancy's Rainbow Six® Siege,4583
Team Fortress 2,3526
Warframe,2837
Unturned,2028
Paladins®,2026
????-1v5(Notes of Soul),1527
Mutant Year Zero: Road to Eden,1448
SCP: Secret Laboratory,1211
Risk of Rain 2,1202
Dying Light,1195
PAYDAY 2,1076
DARK SOULS™ III,1018
The Forest,977
Sekiro™: Shadows Die Twice,975
Hearts of Iron IV,898
Totally Accurate Battle Simulator,880
Cities: Skylines,836
VRChat,816
Divinity: Original Sin 2 - Definitive Edition,803
